ACC X;ACC Y; ACC Z;GYRO X;GYRO Y;GYRO Z;
-4420;-1592;17960;-1486;-15575;6646;
3780;-1804;15568;41;-10389;4817;
1956;-2148;15360;-1023;13100;-6617;
-3336;-1788;18324;2403;10463;-5678;
3296;-2372;16548;391;-11220;3798;
3040;-2336;15948;-425;16340;-5465;
-6404;-2260;17516;-652;63;-4199;
1380;-2380;17124;-1922;-13634;6629;
2080;-1928;15352;-1047;-1532;611;
152;-3568;16804;-2241;5420;-1075;
840;-3252;15612;-5186;6717;-860;
-1496;-4176;18268;-245;1702;301;
-2332;-2656;13132;-470;-934;747;
-1112;-4548;15212;-6264;-5;-2165;
-348;-5724;18292;-3592;-111;-1677;
-3500;-5896;21504;34;-235;-1602;
1208;-4680;14800;2132;-2845;20;
-612;-4936;16620;8469;-8882;1329;
352;-2972;17264;6683;-4561;-492;
948;-468;16420;314;6705;-300;
-300;4;18364;-863;-4669;4034;
-980;156;16976;-671;-148;-264;
-1016;-24;17080;-582;9;-240;
-1168;96;16944;-616;37;-250;
-1116;-56;17032;-597;9;-246;
-1188;224;16948;-581;10;-249;
-1048;116;16912;-600;11;-244;
-1100;4;16908;-614;54;-244;
-1044;80;16772;-604;15;-196;
-1088;112;16984;-614;21;-242;
-1112;144;16876;-596;27;-245;
-988;88;16912;-586;-21;-230;
-1100;84;17020;-602;54;-244;
-1104;-32;16876;-600;27;-241;
-1116;20;16936;-598;20;-219;
-1156;-12;16988;-596;42;-265;
-1116;56;16920;-562;8;-232;
-1048;60;16940;-592;19;-248;
-1040;112;16916;-618;37;-268;
-1080;-12;16936;-586;-3;-224;
-1064;80;16896;-607;48;-249;
-1116;108;16864;-634;31;-239;
-1052;64;17028;-573;19;-225;
-1124;64;16952;-597;22;-242;
-1096;72;16944;-614;32;-236;
-1076;-56;17004;-571;9;-239;
-1172;120;17160;-606;21;-246;
-1024;64;16836;-608;43;-226;
-924;120;17012;-575;8;-250;
-1044;120;17108;-580;36;-254;
-1092;32;16904;-582;-25;-239;
-1064;156;17120;-581;11;-259;
-976;40;16900;-600;40;-241;
-1060;156;16896;-573;9;-235;
-1052;100;17216;-607;20;-234;
-1004;20;17020;-598;3;-246;
-1052;8;16980;-545;4;-257;
-956;56;17096;-602;26;-207;
-984;60;16824;-617;22;-253;
-1004;148;17016;-594;10;-243;
-1040;116;16976;-597;41;-223;
-1020;92;16884;-607;27;-261;
-1028;168;17160;-585;4;-234;
-1184;208;17180;-593;21;-249;
-1012;148;16684;-589;37;-261;
-1016;100;16908;-589;32;-246;
-1020;156;16876;-602;63;-272;
-1144;-112;17052;-611;33;-223;
-1140;164;16964;-624;53;-241;
-1112;160;17020;-587;6;-230;
-1016;140;17040;-587;14;-222;
-1152;204;17092;-593;11;-233;
-1108;120;16868;-628;28;-280;
-1032;36;16844;-621;6;-268;
-1112;144;17116;-594;27;-228;
-1108;4;16944;-624;22;-245;
-996;144;16964;-581;35;-246;
-1048;128;17076;-588;18;-236;
-976;72;16908;-609;7;-225;
-976;72;16908;-609;7;-225;
-1044;112;16924;-609;43;-235;
-1036;40;16880;-635;43;-252;
-1028;136;16916;-591;8;-257;
-1224;108;16832;-609;59;-252;
-1140;72;17000;-571;-40;-216;
-948;-8;17216;-602;25;-229;
-1060;72;16880;-577;31;-277;
-952;128;16980;-592;15;-240;
-988;188;17076;-621;43;-244;
-1044;84;16832;-628;35;-265;
ACC X;ACC Y; ACC Z;GYRO X;GYRO Y;GYRO Z;
-992;100;16912;-567;-4;-251;
-976;140;17140;-598;25;-222;
-1008;56;16776;-629;49;-264;
-1040;164;16912;-610;7;-247;
-1104;120;17208;-577;52;-245;
-1144;24;16860;-594;42;-225;
-988;172;17008;-591;17;-239;
-916;124;17000;-593;25;-264;
-904;8;16940;-587;12;-257;
-1048;324;17000;-627;9;-242;
-1068;88;16896;-597;29;-252;
-1016;128;16932;-590;1;-244;
-1060;204;17028;-580;14;-224;
-1092;80;17020;-621;62;-235;
-1004;-28;17020;-611;18;-254;
-1056;-44;16908;-602;55;-244;
-1048;228;16928;-624;65;-220;
-1088;-20;17028;-652;60;-223;
-1172;-52;16888;-1326;1813;-288;
-1392;36;16756;-827;665;-257;
-1316;188;17108;-724;605;-279;
-1864;-100;16980;-844;2681;-212;
-1888;-176;17472;-669;2113;-53;
-4620;108;15104;-767;4534;1111;
-4284;-152;16248;-567;2855;130;
-1712;-628;15000;-1408;1858;212;
-1212;36;17040;-586;-130;-239;
-1296;164;16952;-545;-375;-228;
-960;104;17208;-620;-3039;-317;
32;84;17064;-613;-2960;-237;
1424;32;15232;-619;5974;-180;
-728;28;19028;-2979;7494;-19;
-3164;252;15960;-834;2277;850;
-1584;-816;15276;640;-1386;-103;
748;148;16548;-640;-11745;-255;
848;176;17472;-601;3063;-211;
-1136;24;17556;-523;12956;-113;
-984;32;17004;-591;-46;-214;
68;40;17428;-680;-12225;-498;
-892;232;17932;-548;9173;-181;
-552;552;18464;-1225;3456;-299;
-1204;512;17640;-174;-886;-168;
788;200;15316;-655;-6197;-608;
-864;64;14628;-725;454;-270;
-3276;508;14816;-947;3068;105;
-1392;-604;15328;-345;-835;-341;
-60;232;16488;-619;-1715;-222;
-976;280;16932;-646;427;-245;
-3160;320;14704;-541;-518;-104;
-1292;-28;17264;-664;-4783;-338;
432;-12;16404;-574;3988;-184;
-1192;24;17816;-920;1454;677;
-1460;-76;16540;280;-3577;-247;
-360;300;16500;-686;-6486;-540;
-184;76;16808;-608;167;-249;
-352;-24;17044;-617;-1373;-402;
-1240;380;17512;-681;346;39;
-1168;408;16960;-442;-428;-203;
-348;104;17192;-668;-7607;-319;
560;80;16408;-549;6747;-190;
-1140;292;17296;-662;399;-230;
-1444;200;16616;-602;90;-268;
-428;652;18156;-730;105;-263;
-1412;212;17664;-621;-4599;-369;
1032;16;15560;-593;6062;-243;
-1204;-112;17164;-1663;4542;-369;
-3712;192;14420;-670;-1197;14;
-2064;-68;17648;-664;-5677;-337;
1012;140;16384;-568;1750;-215;
-1212;264;17644;-591;292;-231;
-2280;-104;15440;-504;-2469;-333;
-1184;72;17096;-645;-5934;-327;
-1304;156;17248;-647;266;-239;
-1120;48;17164;-466;-489;-312;
-1656;-96;18004;-685;-9307;-792;
-540;-140;17944;-525;7081;-187;
-1016;156;17892;-620;319;-336;
-2220;-300;16596;-1170;4728;409;
-2824;-204;15060;626;-11381;-711;
-1616;36;18000;-689;-7794;-400;
412;-8;15992;-450;12604;-192;
-1944;-44;16468;-1179;5425;-249;
-2728;-192;16892;-436;-1492;-314;
-2316;-212;16060;770;-13027;-428;
-924;-48;16964;-568;-391;-243;
-1040;-28;17528;-603;215;-263;
-836;-16;17060;-616;-395;-257;
-1208;64;17664;-646;-4453;-233;
-968;112;17408;-980;967;324;
-3612;-216;14792;-1467;6612;2782;
-1612;-684;17720;1380;-15166;-1693;
-1044;-28;17068;-671;-5297;-293;
-628;12;17204;-600;-2020;-260;
-760;692;16568;-517;5526;-827;
-1648;-404;14964;-1651;10622;-1940;
-3200;0;16224;-646;495;3;
-3448;-88;15824;1663;-21183;-1528;
-1088;224;17044;-614;50;-182;
-988;372;17020;-706;487;-203;
-1428;104;16776;-591;-380;-210;
-1316;-112;17012;-778;357;140;
-1000;208;17184;-1527;2221;3543;
-1216;-564;17364;-960;1024;-1411;
-3848;236;16556;-1210;14457;628;
-5876;-8;13128;-815;-5816;-424;
-1812;160;17856;-685;-8525;-251;
608;-80;17000;-620;-6225;-589;
3368;72;14228;-936;9230;-4077;
-2940;472;15676;-2287;16905;1285;
-5660;256;15900;-510;-4942;-673;
-5436;916;13848;-556;-14651;-2106;
-604;212;15512;-494;-326;-176;
-708;-1692;18024;-2586;24878;2998;
-6872;24;12808;-1835;13110;1239;
-6456;-280;17516;-423;-6574;-367;
-7472;-188;12360;-557;-7847;-405;
-7252;-4376;32767;-2322;-1562;560;
2864;-60;15012;-655;-15724;-453;
4940;12;15320;-577;-549;-263;
-1328;-56;18204;-520;23545;846;
-6436;-132;13328;-1635;32767;7717;
732;72;16752;-454;-120;-180;
4356;-172;13244;-376;-2651;1910;
1964;168;16048;-582;6431;-177;
1564;328;20252;-3333;15630;4972;
-7804;-252;11340;-362;9936;42;
-6600;1584;10616;1228;-26255;-5081;
-2060;16;14540;-318;-648;-164;
-620;208;16848;-674;-6265;-271;
1208;-116;16412;-616;-3556;-272;
276;804;16300;-417;23126;457;
-1300;-388;19284;-2009;27668;644;
-4908;48;18204;-581;-1319;-427;
-4564;-976;15124;2757;-32768;-7723;
-1120;44;16784;-593;-216;-259;
-1028;-72;17120;-1235;1362;48;
-3912;-500;15884;13;28339;3577;
-6672;-488;15132;-502;2060;-344;
-832;188;16820;-549;-535;-204;
-1188;-616;15144;-1460;-15050;-6363;
3916;416;15448;-674;-1563;-575;
-2176;-748;18500;-504;10498;282;
-1400;644;16280;-6041;20240;7313;
-4176;-196;16388;-652;10089;-75;
-3480;192;15640;885;-25403;-7579;
-1468;108;18348;-703;-11215;-583;
1600;-240;17664;-589;521;-629;
2480;-96;15772;-511;9083;-166;
-984;8;17956;-702;569;-117;
-1872;-404;17068;-1114;7040;1141;
-7528;364;11204;-401;1804;103;
2764;540;22144;2431;-7944;-763;
-388;268;16624;-785;-12348;-630;
432;84;16024;-478;19274;-156;
-2616;100;15516;-1217;5787;849;
-2276;-580;17788;-1195;9190;1361;
-3784;-136;16580;-601;1086;-79;
-136;-1568;16712;1410;-2572;-1733;
2016;-144;14868;-641;-2651;-1018;
1900;-348;16136;-715;-13014;-993;
1908;24;16300;-593;1390;-274;
8460;-1420;21572;-1263;1059;-380;
-6044;1824;13688;-730;18301;4938;
-620;-120;14564;-490;-128;-216;
-1116;76;16916;-631;25;-240;
-980;144;16908;-598;48;-244;
-1208;104;16808;-592;43;-224;
-1080;172;16952;-612;8;-255;
-1048;196;17056;-612;11;-245;
-1128;212;17056;-591;-12;-280;
-1136;120;17140;-590;31;-238;
-1064;-52;17096;-605;13;-264;
-1072;64;16804;-591;13;-248;
-960;148;17388;-592;-133;-252;
-988;128;16884;-600;-26;-235;
-1012;-124;17088;-587;8;-283;
-1076;124;17036;-611;0;-235;
-1000;96;16900;-588;24;-250;
-1024;140;17032;-611;-3;-268;
-1004;156;17192;-611;34;-246;
-1012;128;16972;-620;31;-222;
-1096;232;17016;-603;21;-245;
-1100;208;16936;-619;29;-239;
-1088;88;16920;-599;15;-255;
-1056;96;16948;-589;28;-258;
-1048;-8;16816;-620;38;-255;
-1036;60;17076;-600;20;-233;
-1024;176;16928;-599;15;-257;
-948;108;16884;-621;2;-242;
